time,sigmal , sigmap ,sigmai, rse
157.925111,0.1,100000,10000,0.612569
155.984839,0.1,100000,100000,0.697157
96.521256,0.5,0.00001,0.00001,0.997712
97.81649,0.5,0.00001,0.0001,0.997712
98.61501,0.5,0.00001,0.001,0.997712
99.769663,0.5,0.00001,0.01,0.997712
97.631017,0.5,0.00001,0.1,0.997712
96.741622,0.5,0.00001,0.5,0.997712
97.634746,0.5,0.00001,10,0.997712
96.300926,0.5,0.00001,100,0.997468
118.913114,0.5,0.00001,1000,0.948487
111.230206,0.5,0.00001,10000,0.925388
110.678031,0.5,0.00001,100000,0.924919
99.76727,0.5,0.0001,0.00001,0.997712
100.160024,0.5,0.0001,0.0001,0.997712
99.387937,0.5,0.0001,0.001,0.997712
98.198641,0.5,0.0001,0.01,0.997712
97.801767,0.5,0.0001,0.1,0.997712
98.506182,0.5,0.0001,0.5,0.997712
98.036292,0.5,0.0001,10,0.997712
97.131323,0.5,0.0001,100,0.997566
113.482743,0.5,0.0001,1000,0.942055
116.390078,0.5,0.0001,10000,0.925893
99.905784,0.5,0.0001,100000,0.927028
98.196856,0.5,0.001,0.00001,0.997712
97.753862,0.5,0.001,0.0001,0.997712
96.865762,0.5,0.001,0.001,0.997712
99.296663,0.5,0.001,0.01,0.997712
96.760597,0.5,0.001,0.1,0.997712
99.564273,0.5,0.001,0.5,0.997712
96.337986,0.5,0.001,10,0.997712
97.014509,0.5,0.001,100,0.997636
120.560505,0.5,0.001,1000,0.946038
104.108953,0.5,0.001,10000,0.926245
110.767664,0.5,0.001,100000,0.922861
98.197585,0.5,0.01,0.00001,0.997712
96.21913,0.5,0.01,0.0001,0.997712
96.736812,0.5,0.01,0.001,0.997712
96.330218,0.5,0.01,0.01,0.997712
98.840522,0.5,0.01,0.1,0.997712
97.148442,0.5,0.01,0.5,0.997712
